OBJECTID,name,latitude_centroid,longitude_centroid
1,Adams-Normandie,34.031368026079626,-118.30032586267873
2,Arleta,34.24131257084159,-118.43215715634392
3,Arlington Heights,34.04383374693933,-118.32144607177106
4,Atwater Village,34.12604079191589,-118.26506611392412
5,Baldwin Hills/Crenshaw,34.01552858715053,-118.3546888919299
6,Bel-Air,34.09926247583929,-118.46113423870989
7,Beverly Crest,34.11178477954148,-118.4272593820503
8,Beverly Grove,34.07563397007441,-118.37129925821009
9,Beverlywood,34.04473790689913,-118.39376289381342
10,Boyle Heights,34.038560276408504,-118.20892973967995
11,Brentwood,34.08860164740486,-118.4951425967024
12,Broadway-Manchester,33.941539742532655,-118.27485798533043
13,Canoga Park,34.20910287047777,-118.600569019906
14,Carthay,34.05810530811959,-118.36953151805585
15,Central-Alameda,34.00521777759098,-118.24776781052158
16,Century City,34.05497197257868,-118.41557681987652
17,Chatsworth,34.261063039647475,-118.59312165739038
18,Chatsworth Reservoir,34.23235163934279,-118.63034954139421
19,Chesterfield Square,33.98379971824574,-118.31327070713968
20,Cheviot Hills,34.04032515620858,-118.40914404805028
21,Chinatown,34.06379102742822,-118.23498656117518
22,Cypress Park,34.09100571528915,-118.22454368571802
23,Del Rey,33.989698032681495,-118.42388714341433
24,Downtown,34.03903398703918,-118.24576375665511
25,Eagle Rock,34.13623125885513,-118.20783199128888
26,East Hollywood,34.088651881178436,-118.29722668055189
27,Echo Park,34.078969140221346,-118.25641203989181
28,El Sereno,34.07912669111998,-118.17585882929852
29,Elysian Park,34.07894786667291,-118.23820412043017
30,Elysian Valley,34.09753317187407,-118.24194928886669
31,Encino,34.15211447186858,-118.50204855273549
32,Exposition Park,34.01758108725821,-118.3016943292226
33,Fairfax,34.0791223414669,-118.35231121858037
34,Florence,33.974644576589235,-118.26855212493767
35,Glassell Park,34.11466786124112,-118.23590897062829
36,Gramercy Park,33.95128135852574,-118.30942011273078
37,Granada Hills,34.29037297897104,-118.50512643245077
38,Green Meadows,33.94121421174937,-118.26191835523713
39,Griffith Park,34.13701880890887,-118.29389988760495
40,Hancock Park,34.07271565809303,-118.334976129461
41,Hansen Dam,34.26688748720612,-118.3810255900251
42,Harbor City,33.79311567379349,-118.2976510031175
43,Harbor Gateway,33.866549832035645,-118.29468447015084
44,Harvard Heights,34.045044733959095,-118.3067245773274
45,Harvard Park,33.98392228425553,-118.30460656120705
46,Highland Park,34.11563000006861,-118.1926681979814
47,Historic South-Central,34.01710470789355,-118.2675034828457
48,Hollywood Hills,34.12686381342771,-118.32947624488158
49,Hollywood Hills West,34.109963399350754,-118.37133359829787
50,Hollywood,34.09499255931088,-118.33058191358197
51,Hyde Park,33.98614973659278,-118.32982670562872
52,Jefferson Park,34.02914032556797,-118.3222493253986
53,Koreatown,34.06396176179617,-118.3023010840067
54,Lake View Terrace,34.28080481489099,-118.36500656893813
55,Larchmont,34.079876021912334,-118.31761340206779
56,Leimert Park,34.0122449454981,-118.32667448152522
57,Lincoln Heights,34.071792226415546,-118.2123638428245
58,Los Feliz,34.1084866095848,-118.287725755274
59,Manchester Square,33.96728617174952,-118.30902343607178
60,Mar Vista,34.009415360935265,-118.435455829397
61,Mid-City,34.04126385758499,-118.36059125335102
62,Mid-Wilshire,34.057551479356476,-118.34524908460165
63,Mission Hills,34.26690511414982,-118.45987435505896
64,Montecito Heights,34.093705557871644,-118.19345964624966
65,Mount Washington,34.103440749536595,-118.21681560882242
66,North Hills,34.23869528110028,-118.47826354017526
67,North Hollywood,34.180968223053455,-118.37803819223384
68,Northridge,34.238926667484776,-118.52982057460855
69,Pacific Palisades,34.078450948010705,-118.5461477467312
70,Pacoima,34.26377018628646,-118.41633173143768
71,Palms,34.02499335271433,-118.40965080223258
72,Panorama City,34.22433292075103,-118.44539797507962
73,Pico-Robertson,34.05380999932527,-118.38665181836532
74,Pico-Union,34.04454492153778,-118.28678863002709
75,Playa del Rey,33.95025347977836,-118.43828525103109
76,Playa Vista,33.97853438747238,-118.41508242722648
77,Porter Ranch,34.27837796161189,-118.54761204097458
78,Rancho Park,34.034333899613124,-118.42590902637755
79,Reseda,34.20362489449692,-118.5403493293384
80,San Pedro,33.73863001785346,-118.29287184789013
81,Sawtelle,34.03609729043285,-118.44918314496765
82,Sepulveda Basin,34.17693492140089,-118.48869490018863
83,Shadow Hills,34.2403163561037,-118.33864391934729
84,Sherman Oaks,34.150801890181846,-118.44219740361554
85,Silver Lake,34.09424145512176,-118.26903684829621
86,South Park,33.99656164988579,-118.26858821614853
87,Studio City,34.13984056157801,-118.38889128278628
88,Sunland,34.269194519309515,-118.3126605792355
89,Sun Valley,34.22020363554303,-118.38851011740448
90,Sylmar,34.31288550748564,-118.44884225763829
91,Tarzana,34.15663957661596,-118.54617266081324
92,Toluca Lake,34.15206322600397,-118.35720432563477
93,Tujunga,34.25868155834884,-118.28051989382203
94,University Park,34.02817217848023,-118.28355329754372
95,Valley Glen,34.18649563852034,-118.418376163499
96,Valley Village,34.16331512779616,-118.39741613767258
97,Van Nuys,34.1985234974988,-118.4647944396452
98,Venice,33.99135368870917,-118.462081496188
99,Vermont Knolls,33.96721084836968,-118.29058199587004
100,Vermont-Slauson,33.983955938609256,-118.29043926897151
101,Vermont Square,34.002049535886535,-118.29897538786803
102,Vermont Vista,33.94195922273944,-118.28587291973462
103,Watts,33.94025500776507,-118.24154905775683
104,West Adams,34.029440530833604,-118.35282956586585
105,Westchester,33.953410725521714,-118.40075314035485
106,West Hills,34.206647519385946,-118.6370768219164
107,Westlake,34.06192102786382,-118.27385087468318
108,West Los Angeles,34.04664541902249,-118.43017561071657
109,Westwood,34.066236451312676,-118.43765449517085
110,Wilmington,33.78092752330585,-118.25988120981832
111,Windsor Square,34.06909679237397,-118.31990859895228
112,Winnetka,34.21061339788254,-118.57524998543266
113,Woodland Hills,34.166339061616846,-118.60493673794899
114,Lake Balboa,34.202027510316796,-118.50664421540097
